filter_name,policy_name,split,original_trade_count,filtered_trade_count,removed_trade_count,removed_trade_pct,original_net_pnl,filtered_net_pnl,pnl_delta,did_filter_change_trade_set
trend_friendly_only,v3_4h_vol_compression_donchian_breakout,validation_ext,94,0,94,1.0,-5.771197169999996,0.0,5.771197169999996,True
trend_friendly_only,v3_4h_vol_compression_donchian_breakout,oos_ext,79,0,79,1.0,-3.5898067449999997,0.0,3.5898067449999997,True
original_all,v3_ensemble_core,train_ext,502,502,0,0.0,0.17144016000001416,0.17144016000001416,0.0,False
original_all,v3_ensemble_core,validation_ext,332,332,0,0.0,-1.6080966749999879,-1.6080966749999879,0.0,False
original_all,v3_ensemble_core,oos_ext,320,320,0,0.0,-6.3959871349999915,-6.3959871349999915,0.0,False
keep_trend_friendly,v3_ensemble_core,train_ext,502,28,474,0.9442231075697212,0.17144016000001416,-0.6706466649999986,-0.8420868250000128,True
keep_trend_friendly,v3_ensemble_core,validation_ext,332,2,330,0.9939759036144579,-1.6080966749999879,0.054518975000000004,1.6626156499999878,True
keep_trend_friendly,v3_ensemble_core,oos_ext,320,0,320,1.0,-6.3959871349999915,0.0,6.3959871349999915,True
exclude_hostile_chop_overheated,v3_ensemble_core,train_ext,502,427,75,0.14940239043824702,0.17144016000001416,2.5147181950000164,2.343278035000002,True
exclude_hostile_chop_overheated,v3_ensemble_core,validation_ext,332,298,34,0.10240963855421686,-1.6080966749999879,-1.740312739999988,-0.13221606500000016,True
exclude_hostile_chop_overheated,v3_ensemble_core,oos_ext,320,319,1,0.003125,-6.3959871349999915,-6.394735294999991,0.001251840000000115,True
keep_trend_friendly_exclude_funding_overheated,v3_ensemble_core,train_ext,502,28,474,0.9442231075697212,0.17144016000001416,-0.6706466649999986,-0.8420868250000128,True
keep_trend_friendly_exclude_funding_overheated,v3_ensemble_core,validation_ext,332,2,330,0.9939759036144579,-1.6080966749999879,0.054518975000000004,1.6626156499999878,True
keep_trend_friendly_exclude_funding_overheated,v3_ensemble_core,oos_ext,320,0,320,1.0,-6.3959871349999915,0.0,6.3959871349999915,True
exclude_funding_overheated,v3_ensemble_core,train_ext,502,493,9,0.017928286852589643,0.17144016000001416,0.07143094500001457,-0.1000092149999996,True
exclude_funding_overheated,v3_ensemble_core,validation_ext,332,329,3,0.009036144578313253,-1.6080966749999879,-1.5516894999999875,0.056407175000000365,True
exclude_funding_overheated,v3_ensemble_core,oos_ext,320,320,0,0.0,-6.3959871349999915,-6.3959871349999915,0.0,False
trend_friendly_only,v3_ensemble_core,train_ext,502,28,474,0.9442231075697212,0.17144016000001416,-0.6706466649999986,-0.8420868250000128,True
trend_friendly_only,v3_ensemble_core,validation_ext,332,2,330,0.9939759036144579,-1.6080966749999879,0.054518975000000004,1.6626156499999878,True
trend_friendly_only,v3_ensemble_core,oos_ext,320,0,320,1.0,-6.3959871349999915,0.0,6.3959871349999915,True
